Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
serce,10%,all,RF,0.875,0.017,9
serce,10%,all,XGBoost,0.8543,0.0195,9
serce,10%,all_knn,MLP,0.8525,0.0187,9
serce,10%,all_knn,NB,0.852,0.0149,9
serce,10%,all_knn,RF,0.8793,0.0173,9
serce,10%,all_knn,XGBoost,0.8571,0.0164,9
serce,10%,fill,MLP,0.5203,0.0582,9
serce,10%,fill,NB,0.8183,0.0246,9
serce,10%,fill,RF,0.8767,0.0174,9
serce,10%,fill,XGBoost,0.8602,0.0197,9
serce,10%,fill_knn,MLP,0.5237,0.047,9
serce,10%,fill_knn,NB,0.8192,0.0248,9
serce,10%,fill_knn,RF,0.8804,0.0228,9
serce,10%,fill_knn,XGBoost,0.8646,0.0189,9
serce,10%,fill_norm,MLP,0.807,0.0359,9
serce,10%,fill_norm,NB,0.8064,0.0284,9
serce,10%,fill_norm,RF,0.8768,0.0176,9
serce,10%,fill_norm,XGBoost,0.8602,0.0197,9
serce,10%,raw,MLP,0.5278,0.0505,9
serce,10%,raw,NB,0.8234,0.0157,9
serce,10%,raw,RF,0.881,0.0113,9
serce,10%,raw,XGBoost,0.8531,0.0072,9
serce,10%,remove_fill,MLP,0.5672,0.1352,9
serce,10%,remove_fill,NB,0.8515,0.015,9
serce,10%,remove_fill,RF,0.8757,0.0167,9
serce,10%,remove_fill,XGBoost,0.8543,0.0195,9
serce,20%,all,MLP,0.7984,0.0271,9
serce,20%,all,NB,0.827,0.0139,9
serce,20%,all,RF,0.8418,0.0173,9
serce,20%,all,XGBoost,0.828,0.0231,9
serce,20%,all_knn,MLP,0.7948,0.0387,9
serce,20%,all_knn,NB,0.8274,0.0143,9
serce,20%,all_knn,RF,0.8473,0.0186,9
serce,20%,all_knn,XGBoost,0.8264,0.0219,9
serce,20%,fill,MLP,0.5496,0.03,9
serce,20%,fill,NB,0.7984,0.0154,9
serce,20%,fill,RF,0.8467,0.017,9
serce,20%,fill,XGBoost,0.8369,0.0219,9
serce,20%,fill_knn,MLP,0.5237,0.0254,9
serce,20%,fill_knn,NB,0.8021,0.0176,9
serce,20%,fill_knn,RF,0.8434,0.0156,9
